feature,outlier_count,outlier_fraction
Stress_Level,5,0.001134301270417423
Social_Interaction,5,0.001134301270417423
Exercise_Hours,4,0.0009074410163339383
Screen_Time,3,0.0006805807622504537
Work_Hours,3,0.0006805807622504537
Anxiety_Score,3,0.0006805807622504537
Noise_Exposure,2,0.00045372050816696913
Sleep_Hours,2,0.00045372050816696913
Tech_Usage_Hours,2,0.00045372050816696913
Sensory_Sensitivity,1,0.00022686025408348456
Heart_Rate,1,0.00022686025408348456
Age,0,0.0
Depression_Score,0,0.0
Multitasking_Habit,0,0.0
Caffeine_Intake,0,0.0
Meditation_Habit,0,0.0
Irritability_Score,0,0.0
Overthinking_Score,0,0.0
Sleep_Quality,0,0.0
Headache_Frequency,0,0.0
