,RandomForest_Importance,Mutual_Info,RFE_Selected,RFE_Rank,Combined_Score
Social_Interaction,0.11561783293117195,0.21535192113942836,True,1,2.0
Tech_Usage_Hours,0.12643025362989754,0.20613173020046927,True,1,2.5
Screen_Time,0.11265586168694741,0.21484005700756859,True,1,3.0
Heart_Rate,0.10686502626014145,0.18878572362076063,False,9,4.5
Sensory_Sensitivity,0.092462648520808,0.1847703251285404,True,1,5.5
Irritability_Score,0.010069295104939119,0.5989039334780384,False,5,7.0
Sleep_Quality,0.07140550018341159,0.1553031871008117,True,1,7.5
Work_Hours,0.07108521996805763,0.16216886029695243,False,2,7.5
Stress_Level,0.053657389624148,0.17581193023878172,True,1,8.5
Noise_Exposure,0.06795947428932901,0.15330475997742687,True,1,9.5
Anxiety_Score,0.04312571874134043,0.15408615251503455,False,3,11.0
Sleep_Hours,0.05781126534027169,0.11192040284683391,True,1,11.0
Exercise_Hours,0.04565214454204293,0.11321837168826754,True,1,11.5
Headache_Frequency,0.004274166506600057,0.0021467987093288787,False,11,16.0
Age,0.005360394587956333,0.0,False,4,16.25
Depression_Score,0.0050631779749410405,0.0,False,6,16.75
Multitasking_Habit,0.0012653225681871889,0.009027692500792828,True,1,17.0
Caffeine_Intake,0.003371220782078202,0.0018715466923258095,False,7,17.0
Overthinking_Score,0.004563497809921827,0.0,False,10,17.25
Meditation_Habit,0.001304588947808618,0.0,False,8,18.75
