Age,Sleep_Hours,Screen_Time,Stress_Level,Noise_Exposure,Social_Interaction,Work_Hours,Exercise_Hours,Caffeine_Intake,Multitasking_Habit,Anxiety_Score,Depression_Score,Sensory_Sensitivity,Meditation_Habit,Overthinking_Score,Irritability_Score,Headache_Frequency,Sleep_Quality,Tech_Usage_Hours,Heart_Rate,Overstimulated,screen_per_sleep,stress_sleep_inter,tech_per_work,caff_headache,high_stress_flag,low_sleep_flag,hr_age_ratio,log_Screen_Time,sqrt_Tech_Usage_Hours,hr_bin
25.0,7.963323832,3.315576336,7,2,8,13,1.217663258,3,1,3,4,0,1,4,4,2,1,9.131087348,83.4,0,0.4163557817805717,55.743266824,0.70239128043144,6,1,0,3.3359998665600052,1.46223088131733,3.0217689104231646,1
28.0,6.384819527,2.704178423,7,2,5,4,0.212012894,1,1,4,4,2,0,7,9,4,3,1.786597202,84.5,0,0.423532409652648,44.693736689000005,0.44664918883770277,4,1,0,3.0178570350765344,1.30946148598015,1.3366365257615849,1
28.0,8.641947848,1.910105192,5,4,8,8,1.622917518,1,0,4,1,2,0,1,8,4,3,9.492481856,76.3,0,0.22102713468872875,43.20973924,1.1865600836799897,4,0,0,2.7249999026785745,1.0681892289836699,3.0809871560913717,1
20.0,7.211282741,2.50863337,5,1,5,11,0.319534911,2,0,4,6,1,1,4,6,5,3,2.885012396,84.8,0,0.34787611472518815,36.056413705,0.26227383033874274,10,0,0,4.23999978800001,1.2552266083837538,1.698532424182712,1
19.0,9.189445243,6.560596364,9,3,1,14,2.713130501,2,1,6,9,2,1,7,4,2,1,4.166017895,86.5,1,0.7139272803295946,82.70500718699999,0.2975726855305225,4,1,0,4.552631339335193,2.022950071207237,2.0410825301785325,2
19.0,5.877199289,6.366177504,4,4,7,8,2.782928117,4,0,6,8,2,1,8,9,4,4,5.161819043,79.4,0,1.0831990047906295,23.508797156,0.6452272997215877,16,0,0,4.178947148476466,1.99689891547893,2.271963697553286,1
29.0,5.473949655,4.371098148,4,3,1,6,2.6225467,2,0,9,4,4,0,3,7,0,4,8.133720998,72.3,0,0.798527137618123,21.89579862,1.3556199403966764,0,0,0,2.49310336230678,1.6810323844484103,2.851967916719962,1
20.0,7.367015273,9.547542142,4,4,2,5,2.027235765,1,1,2,1,0,0,1,3,4,2,9.000805227,71.2,1,1.2959849399263026,29.468061092,1.8001606853678631,4,0,0,3.559999822000009,2.3558928604575335,3.0001342014983265,1
24.0,7.106259242,4.452630464,1,0,4,9,0.8895285,2,0,7,2,3,1,9,6,1,2,9.096193517,71.1,0,0.6265785817529873,7.106259242,1.0106880562568827,2,0,0,2.9624998765625046,1.696098146180157,3.015989641394678,1
26.0,8.158116215,10.24118886,3,2,3,4,2.003021853,1,0,4,9,0,0,7,5,3,2,1.721631625,69.1,1,1.2553373027259207,24.474348645,0.43040779864805034,3,0,0,2.6576922054733765,2.4195846093348776,1.3121096086074517,0
21.0,3.670001889,5.086139889,9,1,7,5,2.087665073,4,0,3,6,1,0,9,3,6,3,9.671555037,92.5,1,1.3858680886177361,33.030017001,1.9343106205378757,24,1,1,4.404761695011348,1.806014036586893,3.1099123841356042,2
26.0,7.249658253,9.15805597,3,2,5,8,0.090484115,3,0,3,9,3,1,6,3,2,4,7.355299305,74.8,1,1.2632395055271435,21.748974759,0.9194122981984628,6,0,0,2.8769229662721933,2.3182670823067757,2.712065505292968,1
19.0,4.623629673,6.314989496,2,4,3,14,0.650291604,4,1,8,9,3,1,9,9,4,3,6.57509337,70.1,1,1.3658075098594709,9.247259346,0.4696494928821791,16,0,1,3.6894734900277104,1.9899255985175364,2.5641944875535474,1
