,shap_mean_abs
Caffeine_Intake,1.022329885939335
stress_sleep_inter,0.9293272350538289
Work_Hours,0.7983366571591867
hr_age_ratio,0.5858560985229833
log_Screen_Time,0.5706980631313169
Screen_Time,0.5283271374839666
Social_Interaction,0.4945050120271942
Irritability_Score,0.46429418354106616
Sensory_Sensitivity,0.34447581287560086
Depression_Score,0.3268378899576675
Meditation_Habit,0.3241051590717391
Headache_Frequency,0.2873016550612046
screen_per_sleep,0.2868337633158362
caff_headache,0.26989905406454245
Noise_Exposure,0.2516487457691639
Age,0.24509951736387983
Tech_Usage_Hours,0.22743201118246342
Sleep_Hours,0.2086590252271232
Heart_Rate,0.18299391202198334
Overthinking_Score,0.16046859886086404
Exercise_Hours,0.13697930184580778
tech_per_work,0.1296155318858587
sqrt_Tech_Usage_Hours,0.10469805981770856
Anxiety_Score,0.10285829180845604
low_sleep_flag,0.06969945357537013
Multitasking_Habit,0.04689042067049789
Stress_Level,0.04667826692830211
Sleep_Quality,0.035173234359746876
high_stress_flag,0.0010804384810523956
hr_bin,0.0009933396561000716
