feature,importance
Screen_Time,1558
Sleep_Hours,1347
hr_age_ratio,1017
Meditation_Habit,987
stress_sleep_inter,973
Exercise_Hours,952
screen_per_sleep,910
Heart_Rate,844
Caffeine_Intake,720
Anxiety_Score,685
Depression_Score,581
Age,554
tech_per_work,552
caff_headache,550
Tech_Usage_Hours,536
Overthinking_Score,531
Headache_Frequency,453
Social_Interaction,417
Irritability_Score,408
Noise_Exposure,406
Multitasking_Habit,397
Stress_Level,301
Work_Hours,275
Sensory_Sensitivity,225
sqrt_Tech_Usage_Hours,89
log_Screen_Time,44
low_sleep_flag,26
