number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,state
0,0.8718753471211617,2025-11-23 18:47:32.727823,2025-11-23 18:47:48.645905,0 days 00:00:15.918082,0.9197056874649611,dart,0.4348501673009197,0.002570603566117598,0.023585940584142682,0.015751320499779727,8,35,0.020584494295802447,192,COMPLETE
1,0.8517675585307793,2025-11-23 18:47:48.649912,2025-11-23 18:47:55.805136,0 days 00:00:07.155224,0.6591670111852694,gbdt,0.7148538589793427,4.17890272377219e-06,0.0032112643094417484,0.0023102018878452934,9,64,0.13949386065204183,67,COMPLETE
2,0.854600770239888,2025-11-23 18:47:55.808144,2025-11-23 18:48:09.622610,0 days 00:00:13.814466,0.42787024763199866,dart,0.7554487413172255,0.0029369981104377003,3.425445902633376e-07,0.037183641805732096,10,105,0.06505159298527952,125,COMPLETE
3,0.800971587737466,2025-11-23 18:48:09.626626,2025-11-23 18:48:22.926610,0 days 00:00:13.299984,0.47322294090686734,dart,0.6640914962437607,0.00028614897264046574,2.039373116525212e-08,0.0040665633135147945,6,139,0.9093204020787821,210,COMPLETE
4,0.8448456637800247,2025-11-23 18:48:22.928616,2025-11-23 18:48:34.757392,0 days 00:00:11.828776,0.8650796940166687,dart,0.9817507766587351,2.854239907497756,1.1309571585271483,0.010968217207529524,23,41,0.5978999788110851,91,COMPLETE
5,0.8311730621324032,2025-11-23 18:48:34.761911,2025-11-23 18:48:39.193860,0 days 00:00:04.431949,0.8972425054911576,gbdt,0.5628094190643376,1.6247252885719427e-05,3.376063348877853e-06,0.0012315571723666018,15,81,0.5426960831582485,63,COMPLETE
6,0.8505083611381778,2025-11-23 18:48:39.196370,2025-11-23 18:48:48.936961,0 days 00:00:09.740591,0.8892768570729005,dart,0.4033132702741615,0.022999378190815954,0.03639690979811287,0.09413993046829945,32,43,0.7712703466859457,33,COMPLETE
7,0.8457715545544404,2025-11-23 18:48:48.940841,2025-11-23 18:48:58.101725,0 days 00:00:09.160884,0.5865893930293973,dart,0.4381350101716142,8.445977074223802e-06,0.036851536911881845,0.05323617594751501,26,69,0.6375574713552131,43,COMPLETE
8,0.859987247032158,2025-11-23 18:48:58.105737,2025-11-23 18:49:01.598637,0 days 00:00:03.492900,0.6962773578186345,gbdt,0.8625803079727365,0.0005065186776865479,7.04480806377519e-05,0.026698666742744605,31,115,0.02541912674409519,44,COMPLETE
9,0.8342128944175183,2025-11-23 18:49:01.602655,2025-11-23 18:49:03.823265,0 days 00:00:02.220610,0.6462297538213778,gbdt,0.549575337489325,0.06308995924905789,1.1459970229341322e-06,0.00425316236379087,22,182,0.07697990982879299,169,COMPLETE
10,0.8489212001569163,2025-11-23 18:49:03.825271,2025-11-23 18:49:12.020325,0 days 00:00:08.195054,0.9833785637415536,dart,0.5301191582286465,3.2215124538204345e-08,3.8695623257710987,0.014038467915828835,3,8,0.33293184652920277,234,COMPLETE
11,0.8583912278703669,2025-11-23 18:49:12.022601,2025-11-23 18:49:14.271982,0 days 00:00:02.249381,0.7643105644199354,gbdt,0.9022891818429705,0.00048819944331664097,0.00014028651543240028,0.02251910111215697,37,123,0.29110102801613136,167,COMPLETE
12,0.8552972622597921,2025-11-23 18:49:14.275504,2025-11-23 18:49:16.616828,0 days 00:00:02.341324,0.7726084180883646,gbdt,0.8519346364158832,0.3027022259868318,4.445522401779564e-05,0.022211389673973046,31,156,0.28162428012818375,186,COMPLETE
13,0.885410154849432,2025-11-23 18:49:16.627139,2025-11-23 18:49:36.103707,0 days 00:00:19.476568,0.7416520898847223,gbdt,0.8113027648773606,0.000285171426693826,0.002620320506047922,0.0055264641508722765,16,14,0.00312290705611527,127,COMPLETE
14,0.8686232700184334,2025-11-23 18:49:36.106219,2025-11-23 18:49:59.443654,0 days 00:00:23.337435,0.9984875048640593,dart,0.7864366511471437,2.1168486840469562e-07,0.004775848630446959,0.005471420622663601,14,14,0.2038601656621585,121,COMPLETE
15,0.8682354082566679,2025-11-23 18:49:59.446662,2025-11-23 18:50:03.603933,0 days 00:00:04.157271,0.5525970203593044,gbdt,0.633669187289033,0.004305080963629678,0.13478865351350702,0.010435163927822164,16,32,0.4042838751854128,252,COMPLETE
16,0.8900891020476458,2025-11-23 18:50:03.606941,2025-11-23 18:50:41.126673,0 days 00:00:37.519732,0.8022407927401672,dart,0.48891737279194636,7.457864456761332e-05,0.001792495740237538,0.007349847395344402,19,5,0.16405553597722994,150,COMPLETE
17,0.8751106218020913,2025-11-23 18:50:41.131204,2025-11-23 18:50:48.304044,0 days 00:00:07.172840,0.8076437301275354,gbdt,0.6140223818248426,1.877374090400555e-05,0.0011906175810361388,0.007123498417990446,18,12,0.42156592769485335,142,COMPLETE
18,0.8443983959662938,2025-11-23 18:50:48.308052,2025-11-23 18:50:52.769969,0 days 00:00:04.461917,0.8139706075163982,gbdt,0.8008286567370776,7.272092645277991e-07,0.0005621101981236569,0.002789796810985936,20,89,0.17626829415597645,100,COMPLETE
19,0.8136227919578969,2025-11-23 18:50:52.772982,2025-11-23 18:51:05.458322,0 days 00:00:12.685340,0.7237857673915764,dart,0.9768485789984206,5.5606811775039735e-05,1.2242576788240073e-05,0.0016589973319032514,26,56,0.19502365813467926,149,COMPLETE
20,0.8638168634448199,2025-11-23 18:51:05.461872,2025-11-23 18:51:09.109631,0 days 00:00:03.647759,0.5946686089135812,gbdt,0.48573468464829794,6.841089012842136e-07,0.5785329415398258,0.007137245092957812,13,24,0.9696048638251105,105,COMPLETE
21,0.872893756669999,2025-11-23 18:51:09.112167,2025-11-23 18:51:15.476133,0 days 00:00:06.363966,0.8228415389449455,gbdt,0.6750337412110448,6.089452710817048e-05,0.000655473986991669,0.007097429550829768,17,7,0.46729313769633085,146,COMPLETE
22,0.8810293627593653,2025-11-23 18:51:15.482175,2025-11-23 18:51:30.629866,0 days 00:00:15.147691,0.7585126907260975,gbdt,0.5989479552829795,8.83573110291032e-05,0.0029234787927278983,0.0031387696648699456,20,5,0.3944497642389666,139,COMPLETE
23,0.8590221974755592,2025-11-23 18:51:30.632873,2025-11-23 18:51:36.647874,0 days 00:00:06.015001,0.715871285551527,gbdt,0.6046777932389693,0.00014262483930786837,0.012968818098366794,0.0028345315508886146,25,51,0.11457411499274081,164,COMPLETE
24,0.8745661249115939,2025-11-23 18:51:36.652401,2025-11-23 18:51:47.052457,0 days 00:00:10.400056,0.7525941962950896,gbdt,0.5168019683428019,2.7929032124299914e-06,0.13361371707427716,0.0038569506465748623,20,28,0.2504042772646504,118,COMPLETE
25,0.8707297594090047,2025-11-23 18:51:47.054463,2025-11-23 18:52:00.750477,0 days 00:00:13.696014,0.6661376603054303,gbdt,0.7150669694897124,0.001410230689163938,0.0029627113684337113,0.0018101540469253323,11,23,0.3449344858118373,82,COMPLETE
26,0.8774336444945001,2025-11-23 18:52:00.754485,2025-11-23 18:52:32.210279,0 days 00:00:31.455794,0.8514683610559252,dart,0.4720967817328589,0.015079999661129273,0.00031383660223193566,0.005243507991065427,18,5,0.7049211433340475,186,COMPLETE
27,0.8328668024921013,2025-11-23 18:52:32.213839,2025-11-23 18:52:37.268668,0 days 00:00:05.054829,0.9468141637970126,gbdt,0.589534650897993,5.936359357317953e-05,3.4943348260905974e-05,0.001124034462908711,28,76,0.011365991540247894,128,COMPLETE
28,0.8358923632641412,2025-11-23 18:52:37.270674,2025-11-23 18:52:49.092125,0 days 00:00:11.821451,0.7832550180598259,dart,0.7539840201920499,6.369997077759762e-08,0.19176189570203356,0.0032144417843856573,13,55,0.1284562881235885,206,COMPLETE
29,0.8282161874109788,2025-11-23 18:52:49.096132,2025-11-23 18:52:56.648236,0 days 00:00:07.552104,0.7194461116421025,dart,0.47724393068830023,0.0010411538448106973,0.009288165491994627,0.014626747928928012,20,200,0.3938145345015307,158,COMPLETE
30,0.8633279059401835,2025-11-23 18:52:56.652234,2025-11-23 18:53:01.825794,0 days 00:00:05.173560,0.926159446269574,gbdt,0.9309199769800439,1.0014495900529903e-06,0.0016959998997312495,0.007848123904991532,40,38,0.5034332922619649,137,COMPLETE
31,0.8738682268312882,2025-11-23 18:53:01.827802,2025-11-23 18:53:22.453951,0 days 00:00:20.626149,0.8497456928935689,dart,0.4610655977465252,0.009645434692050344,0.0002673670672824071,0.00554061626412971,17,15,0.7155158277918253,186,COMPLETE
32,0.8748789030479172,2025-11-23 18:53:22.458877,2025-11-23 18:53:47.934712,0 days 00:00:25.475835,0.8484216044742893,dart,0.5033936982649195,0.3680863353798413,0.00028771591277721315,0.005266194986249142,19,5,0.7674152324822947,202,COMPLETE
33,0.8562525396966002,2025-11-23 18:53:47.938543,2025-11-23 18:54:05.141723,0 days 00:00:17.203180,0.8015882593083041,dart,0.40681419594139695,0.027814323233131957,0.014715201703407904,0.0019614403359313336,23,24,0.8707454954185379,178,COMPLETE
34,0.8743694873644381,2025-11-23 18:54:05.145251,2025-11-23 18:54:29.636437,0 days 00:00:24.491186,0.7442686921851659,dart,0.5670768555482215,0.00015556607540720063,1.4460811069264097e-05,0.008861225524491173,11,22,0.0026218119056281297,110,COMPLETE
35,0.8508437065439457,2025-11-23 18:54:29.639954,2025-11-23 18:54:42.206338,0 days 00:00:12.566384,0.6792436231683974,dart,0.6505091962967796,0.0038397932558855165,0.003933132087501031,0.0046544202478530205,6,37,0.6738496571577693,155,COMPLETE
36,0.8491737989080533,2025-11-23 18:54:42.209344,2025-11-23 18:54:55.280070,0 days 00:00:13.070726,0.6416861928103406,dart,0.4401083445880764,3.208039498977974e-05,1.045987239438301e-07,0.0034275601579037574,22,46,0.5594486542365592,217,COMPLETE
37,0.8601447257971306,2025-11-23 18:54:55.284579,2025-11-23 18:55:16.860055,0 days 00:00:21.575476,0.8936006122165132,dart,0.7277227128701577,4.052659594196135e-06,0.001095388336575641,0.0022656447118761347,9,17,0.07303028602865737,81,COMPLETE
38,0.8436050966877435,2025-11-23 18:55:16.864576,2025-11-23 18:55:18.843405,0 days 00:00:01.978829,0.8644711826004123,gbdt,0.6854440444974593,5.5565789379059005,0.00014115267942965175,0.011721828177817329,15,33,0.8304916325089118,132,COMPLETE
39,0.8788645218621302,2025-11-23 18:55:18.846933,2025-11-23 18:56:04.164560,0 days 00:00:45.317627,0.8343995290576317,dart,0.5477809271516333,0.18508617376831843,7.4144861386119316e-06,0.0025276009132256232,24,5,0.15659018499644756,174,COMPLETE
