,0
Age,0.0
Sleep_Hours,0.0
Screen_Time,0.0
Stress_Level,0.0
Noise_Exposure,0.0
Social_Interaction,0.0
Work_Hours,0.0
Exercise_Hours,0.0
Caffeine_Intake,0.0
Multitasking_Habit,0.0
Anxiety_Score,0.0
Depression_Score,0.0
Sensory_Sensitivity,0.0
Meditation_Habit,0.0
Overthinking_Score,0.0
Irritability_Score,0.0
Headache_Frequency,0.0
Sleep_Quality,0.0
Tech_Usage_Hours,0.0
Heart_Rate,0.0
screen_per_sleep,0.0
stress_sleep_inter,0.0
tech_per_work,0.0
caff_headache,0.0
high_stress_flag,0.0
low_sleep_flag,0.0
hr_age_ratio,0.0
log_Screen_Time,0.0
sqrt_Tech_Usage_Hours,0.0
hr_bin,0.0
