feature,importance
num__bdi_su,415
num__cesd,294
num__stress,246
num__cop_p,177
cat__longipart_1,120
num__age,101
num__physact,94
cat__educ_par_2,85
cat__year_1,77
num__bmi,74
num__psyt,73
num__socsup,70
num__stai,69
num__cop_e,67
cat__year_6,66
num__cop_h,58
num__jobhours,56
num__health,49
cat__longipart_3,49
cat__educ_par_0,43
num__part,41
cat__year_4,33
cat__educ_par_1,29
cat__nwave_3,21
cat__nwave_2,19
cat__nwave_1,17
cat__year_3,16
cat__sex_2,15
cat__longipart_2,12
cat__longipart_23,10
cat__longipart_123,8
cat__longipart_13,7
cat__longipart_12,7
cat__fmale_0,5
cat__sex_1,3
cat__year_2,2
cat__year_5,0
cat__fmale_1,0
cat__sex_3,0
