feature,shap_value,abs_shap
num__cesd,0.589483119462449,0.589483119462449
num__bdi_su,0.4430778770681711,0.4430778770681711
num__stress,0.11638402937100743,0.11638402937100743
cat__year_1,0.04743412443653978,0.04743412443653978
num__physact,0.04290529921492372,0.04290529921492372
num__cop_p,0.03515282314584212,0.03515282314584212
num__socsup,0.02447542448915903,0.02447542448915903
num__age,0.023142980900996583,0.023142980900996583
cat__longipart_1,-0.019378318036967296,0.019378318036967296
cat__longipart_3,0.019144073463404833,0.019144073463404833
cat__educ_par_1,-0.016769034955413077,0.016769034955413077
cat__year_6,-0.01444838012148281,0.01444838012148281
num__stai,0.014322686880692501,0.014322686880692501
cat__educ_par_2,0.013781738882299277,0.013781738882299277
num__jobhours,-0.013387631798822896,0.013387631798822896
cat__year_2,-0.013020859954421975,0.013020859954421975
cat__educ_par_0,0.008552063408771095,0.008552063408771095
num__health,-0.008481002791746545,0.008481002791746545
num__part,0.008434822895127812,0.008434822895127812
num__bmi,-0.008066209690542666,0.008066209690542666
cat__longipart_23,0.0072195527456702544,0.0072195527456702544
cat__nwave_3,0.006931465336477024,0.006931465336477024
cat__longipart_2,0.006336046469451033,0.006336046469451033
num__psyt,-0.004802183795250083,0.004802183795250083
cat__year_3,-0.00408352263167969,0.00408352263167969
cat__year_4,-0.0033737804516313615,0.0033737804516313615
num__cop_h,0.002601098598860392,0.002601098598860392
cat__nwave_1,-0.002511230615126527,0.002511230615126527
cat__longipart_123,0.0019462309174069366,0.0019462309174069366
cat__sex_2,0.001631495873664927,0.001631495873664927
num__cop_e,0.0012701180105169707,0.0012701180105169707
cat__longipart_13,-0.0010116935533321918,0.0010116935533321918
cat__nwave_2,-0.0008996907308584879,0.0008996907308584879
cat__fmale_0,0.0006882996522943625,0.0006882996522943625
cat__longipart_12,-0.0003147143887787327,0.0003147143887787327
cat__sex_1,0.00026472942306702565,0.00026472942306702565
cat__year_5,0.0,0.0
cat__fmale_1,0.0,0.0
cat__sex_3,0.0,0.0
